variavel,codigo,rotulo
q43a,1,caminhada (ao ar livre- não vale deslocamento para trabalho)
q43a,2,caminhada em esteira
q43a,3,corrida (corrida ao ar livre/rua)
q43a,4,corrida em esteira
q43a,5,musculação
q43a,6,"ginástica aeróbica (spinning, step, jump, funcional)"
q43a,7,hidroginástica
q43a,8,"ginástica em geral (alongamento, pilates, ioga)"
q43a,9,natação
q43a,10,"artes marciais e luta (jiu-jitsu, karatê, judô, boxe, muay thai, capoeira)"
q43a,11,bicicleta (inclui ergométrica)
q43a,12,futebol/futsal
q43a,13,basquetebol
q43a,14,voleibol/futevolei
q43a,15,tênis
q43a,16,"dança (balé, dança de salão, dança do ventre)"
q43a,17,outros
q44,1,sim
q44,2,não
q45,1,1 a 2 dias por semana
q45,2,3 a 4 dias por semana
q45,3,5 a 6 dias por semana
q45,4,todos os dias (inclusive sábado e domingo)
q46,1,menos que 10 minutos
q46,2,entre 10 e 19 minutos
q46,3,entre 20 e 29 minutos
q46,4,entre 30 e 39 minutos
q46,5,entre 40 e 49 minutos
q46,6,entre 50 e 59 minutos
q46,7,60 minutos ou mais
q47,1,sim
q47,2,não
q48,1,sim
q48,2,não
q48,777,não sabe
q49,1,sim
q49,2,não
q49,777,não sabe
r147,555,menos de uma vez na semana
r147,888,não quis responder
r148_hh,,
r148_mm,,
q50,1,"sim, todo o trajeto"
q50,2,"sim, parte do trajeto"
q50,3,não
q51,1,menos que 10 minutos
q51,2,entre 10 e 19 minutos
q51,3,entre 20 e 29 minutos
q51,4,entre 30 e 39 minutos
q51,5,entre 40 e 49 minutos
q51,6,entre 50 e 59 minutos
q51,7,60 minutos ou mais
q52,1,sim
q52,2,não
q52,888,não quis informar
q53,1,"sim, todo o trajeto"
q53,2,"sim, parte do trajeto"
q53,3,não
q54,1,menos que 10 minutos
q54,2,entre 10 e 19 minutos
q54,3,entre 20 e 29 minutos
q54,4,entre 30 e 39 minutos
q54,5,entre 40 e 49 minutos
q54,6,entre 50 e 59 minutos
q54,7,60 minutos ou mais
q55,1,eu sozinho
q55,2,eu com outra pessoa
q55,3,outra pessoa
q55a,1,sim
q55a,2,não
q56,1,eu
q56,2,outra pessoa
q56,3,ambos
q57,1,sim
q57,2,não
